question,response,source,tags,score,question_body
How to create file execute mode permissions in Git on Windows?,"<p>There's no need to do this in two commits, you can add the file and mark it executable in a single commit:</p>

<pre><code>C:\Temp\TestRepo&gt;touch foo.sh

C:\Temp\TestRepo&gt;git add foo.sh

C:\Temp\TestRepo&gt;git ls-files --stage
100644 e69de29bb2d1d6434b8b29ae775ad8c2e48c5391 0       foo.sh
</code></pre>

<p>As you note, after adding, the mode is 0644 (ie, not executable).  However, we can mark it as executable before committing:</p>

<pre><code>C:\Temp\TestRepo&gt;git update-index --chmod=+x foo.sh

C:\Temp\TestRepo&gt;git ls-files --stage
100755 e69de29bb2d1d6434b8b29ae775ad8c2e48c5391 0       foo.sh
</code></pre>

<p>And now the file is mode 0755 (executable).</p>

<pre><code>C:\Temp\TestRepo&gt;git commit -m""Executable!""
[master (root-commit) 1f7a57a] Executable!
 1 file changed, 0 insertions(+), 0 deletions(-)
 create mode 100755 foo.sh
</code></pre>

<p>And now we have a single commit with a single executable file.</p>
",stackoverflow,"windows,git,permissions,chmod",704,"<p>I use Git in Windows, and want to push the executable shell script into git repo by one commit.</p>
<p>Usually I need to do two steps (<code>git commit</code>).</p>
<pre><code>$ vi install.sh
$ git add install.sh  
$ git commit -am &quot;add new file for installation&quot; # first commit
[master f2e92da] add support for install.sh
 1 files changed, 18 insertions(+), 3 deletions(-)
 create mode 100644 install.sh
$ git update-index --chmod=+x install.sh
$ git commit -am &quot;update file permission&quot;        # second commit
[master 317ba0c] update file permission
  0 files changed
  mode change 100644 =&gt; 100755 install.sh
</code></pre>
<p>How can I combine these two steps into one step? git configuration? windows command?</p>
<p>Reference: see question in <a href=""https://stackoverflow.com/questions/6476513"">Git file permissions on Windows</a> for second commit</p>
"
Error &quot;&#39;git&#39; is not recognized as an internal or external command&quot;,"<p>You may not have set your <code>PATH</code> correctly to point at your Git installation.</p>
<p>You need to add the following paths to <code>PATH</code>:</p>
<ul>
<li><code>C:\Program Files\Git\bin\</code></li>
<li><code>C:\Program Files\Git\cmd\</code></li>
</ul>
<p>And check that these paths are correct. You may have Git installed on a different drive, or under <code>Program Files (x86)</code>. Correct the paths if necessary.</p>
<hr />
<p>Modifying <code>PATH</code> on Windows 10:</p>
<ol>
<li>In the Start Menu or taskbar search, search for &quot;environment variable&quot;.</li>
<li>Select &quot;Edit the system environment variables&quot;.</li>
<li>Click the &quot;Environment Variables&quot; button at the bottom.</li>
<li>Double-click the &quot;Path&quot; entry under &quot;System variables&quot;.</li>
<li>With the &quot;New&quot; button in the PATH editor, add <code>C:\Program Files\Git\bin\</code> and <code>C:\Program Files\Git\cmd\</code> to the end of the list.</li>
<li>Close and re-open your console.</li>
</ol>
<p>Modifying <code>PATH</code> on Windows 7:</p>
<ol>
<li>Right-click &quot;Computer&quot; on the Desktop or Start Menu.</li>
<li>Select &quot;Properties&quot;.</li>
<li>On the very far left, click the &quot;Advanced system settings&quot; link.</li>
<li>Click the &quot;Environment Variables&quot; button at the bottom.</li>
<li>Double-click the &quot;Path&quot; entry under &quot;System variables&quot;.</li>
<li>At the end of &quot;Variable value&quot;, insert a <code>;</code> if there is not already one, and then <code>C:\Program Files\Git\bin\;C:\Program Files\Git\cmd\</code>. Do not put a space between <code>;</code> and the entry.</li>
<li>Close and re-open your console.</li>
</ol>
<p>If these instructions weren't helpful, feel free to look at some others:</p>
<ul>
<li><a href=""https://www.computerhope.com/issues/ch000549.htm"" rel=""noreferrer"">How to set the path and environment variables in Windows</a> (Computer Hope)</li>
<li><a href=""https://www.howtogeek.com/118594/how-to-edit-your-system-path-for-easy-command-line-access/"" rel=""noreferrer"">How to edit your system PATH for easy command line access in Windows</a> (How-To Geek)</li>
<li><a href=""https://www.addictivetips.com/windows-tips/set-path-environment-variables-in-windows-10/"" rel=""noreferrer"">How to set Path environment variables in Windows 10</a> (Addictive Tips)</li>
<li><a href=""https://superuser.com/questions/284342/what-are-path-and-other-environment-variables-and-how-can-i-set-or-use-them"">What are PATH and other environment variables, and how can I set or use them?</a> (Super User)</li>
</ul>
",stackoverflow,"windows,git,path,environment-variables,command-prompt",700,"

<p>I have an installation of Git for Windows, but when I try to use the <code>git</code> command in Command Prompt, I get the following error:</p>

<pre class=""lang-none prettyprint-override""><code>'git' is not recognized as an internal or external command,
operable program or batch file. 
</code></pre>

<p>How do I fix this problem?</p>
"
How to prevent auto-closing of console after the execution of batch file,"<p>In Windows/DOS batch files:</p>

<pre><code>pause
</code></pre>

<p>This prints a nice <code>""Press any key to continue . . . ""</code> message</p>

<p>Or, if you don't want the <code>""Press any key to continue . . .""</code> message, do this instead:</p>

<pre><code>pause &gt;nul
</code></pre>
",stackoverflow,"windows,command-line,batch-file",697,"<p>What command can I put at the end of a batch file to prevent auto-closing of the console after the execution of the file?</p>
"
"How do I shutdown, restart, or log off Windows via a bat file?","<p>The most common ways to use the <a href=""https://ss64.com/nt/shutdown.html"" rel=""noreferrer""><code>shutdown</code></a> command are:</p>

<ul>
<li><code>shutdown -s</code> — Shuts down.</li>
<li><code>shutdown -r</code> — Restarts.</li>
<li><code>shutdown -l</code> — Logs off.</li>
<li><p><code>shutdown -h</code> — Hibernates.</p>

<p><strong>Note:</strong> There is a common pitfall wherein users think <code>-h</code> means ""help"" (which it does for every other command-line program... except <code>shutdown.exe</code>, where it means ""hibernate""). They then run <code>shutdown -h</code> and accidentally turn off their computers. Watch out for that.</p></li>
<li><p><code>shutdown -i</code> — ""Interactive mode"". Instead of performing an action, it displays a GUI dialog.</p></li>
<li><code>shutdown -a</code> — Aborts a previous shutdown command.</li>
</ul>

<p>The commands above can be combined with these additional options:</p>

<ul>
<li><code>-f</code> — Forces programs to exit. Prevents the shutdown process from getting stuck.</li>
<li><code>-t &lt;seconds&gt;</code> — Sets the time until shutdown. Use <code>-t 0</code> to shutdown immediately.</li>
<li><code>-c &lt;message&gt;</code> — Adds a shutdown message. The message will end up in the Event Log.</li>
<li><p><code>-y</code> — Forces a ""yes"" answer to all shutdown queries.</p>

<p><strong>Note:</strong> This option is not documented in any official documentation. It was discovered by <a href=""https://stackoverflow.com/questions/46071009/what-exactly-does-shutdown-y-do"">these StackOverflow users</a>.</p></li>
</ul>

<hr>

<p>I want to make sure some other really good answers are also mentioned along with this one. Here they are in no particular order.</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/162304/how-do-i-shutdown-restart-logoff-via-bat-file#162342"">The <code>-f</code> option</a> from <a href=""https://stackoverflow.com/users/672/kogus"">JosephStyons</a></li>
<li><a href=""https://stackoverflow.com/questions/162304/how-do-i-shutdown-restart-logoff-via-bat-file#162398"">Using <code>rundll32</code></a> from <a href=""https://stackoverflow.com/users/6309/vonc"">VonC</a></li>
<li><a href=""https://stackoverflow.com/questions/162304/how-do-i-shutdown-restart-logoff-via-bat-file#162428"">The Run box</a>  from <a href=""https://stackoverflow.com/users/14966/dean"">Dean</a></li>
<li><a href=""https://stackoverflow.com/questions/162304/how-do-i-shutdown-restart-logoff-windows-via-bat-file#416830"">Remote shutdown</a> from <a href=""https://stackoverflow.com/users/18511/kip"">Kip</a></li>
</ul>
",stackoverflow,"windows,batch-file,command-line,restart,shutdown",685,"<p>I've been using <a href=""https://en.wikipedia.org/wiki/Remote_Desktop_Services#Remote_Desktop_Connection"" rel=""noreferrer"">Remote Desktop Connection</a> to get into a workstation. But in this environment, I cannot use the power options in Start Menu. I need an alternative way to shutdown or restart.</p>

<p>How do I control my computer's power state through the command line?</p>
"
How do I measure execution time of a command on the Windows command line?,"<p>If you are using Windows 2003 (note that windows server 2008 and later are not supported) you can use The Windows Server 2003 Resource Kit, which contains timeit.exe that displays detailed execution stats.  Here is an example, timing the command &quot;timeit -?&quot;:</p>
<pre><code>C:\&gt;timeit timeit -?
Invalid switch -?
Usage: TIMEIT [-f filename] [-a] [-c] [-i] [-d] [-s] [-t] [-k keyname | -r keyname] [-m mask] [commandline...]
where:        -f specifies the name of the database file where TIMEIT
                 keeps a history of previous timings.  Default is .\timeit.dat
              -k specifies the keyname to use for this timing run
              -r specifies the keyname to remove from the database.  If
                 keyname is followed by a comma and a number then it will
                 remove the slowest (positive number) or fastest (negative)
                 times for that keyname.
              -a specifies that timeit should display average of all timings
                 for the specified key.
              -i specifies to ignore non-zero return codes from program
              -d specifies to show detail for average
              -s specifies to suppress system wide counters
              -t specifies to tabular output
              -c specifies to force a resort of the data base
              -m specifies the processor affinity mask

Version Number:   Windows NT 5.2 (Build 3790)
Exit Time:        7:38 am, Wednesday, April 15 2009
Elapsed Time:     0:00:00.000
Process Time:     0:00:00.015
System Calls:     731
Context Switches: 299
Page Faults:      515
Bytes Read:       0
Bytes Written:    0
Bytes Other:      298
</code></pre>
<p>You can get TimeIt in the Windows 2003 Resource Kit. It's not available for direct download from the Microsoft Download Center, but one can still get it from the <a href=""http://web.archive.org/web/20150327014146/http://www.microsoft.com/en-us/download/details.aspx?id=17657"" rel=""noreferrer"" title=""Windows 2003 Resource Kit"">archive.org - Windows Server 2003 Resource Kit Tools</a>.</p>
",stackoverflow,"windows,batch-file,time,cmd,windows-server-2003",677,"<p>Is there a built-in way to measure execution time of a command on the Windows command line?</p>
"
How can I create an empty file at the command line in Windows?,"<p><em>Without</em> redirection, <a href=""https://stackoverflow.com/users/5423827/luc-vu"">Luc Vu</a> or <a href=""https://stackoverflow.com/users/2474955/erik-konstantopoulos"">Erik Konstantopoulos</a> <a href=""https://stackoverflow.com/a/34460123/6309"">point</a> <a href=""https://stackoverflow.com/a/32296375/6309"">out</a> to:</p>
<pre><code>copy NUL EMptyFile.txt
copy /b NUL EmptyFile.txt
</code></pre>
<hr />
<p>&quot;<a href=""https://stackoverflow.com/q/210201/6309"">How to create empty text file from a batch file?</a>&quot; (2008) also points to:</p>
<pre><code>type NUL &gt; EmptyFile.txt
# also
echo. 2&gt;EmptyFile.txt
copy nul file.txt &gt; nul # also in qid's answer below
REM. &gt; empty.file
fsutil file createnew file.cmd 0 # to create a file on a mapped drive
</code></pre>
<hr />
<p><a href=""https://stackoverflow.com/users/3040932/nomad"">Nomad</a> mentions <a href=""https://stackoverflow.com/a/20237561/6309"">an original one</a>:</p>
<pre><code>C:\Users\VonC\prog\tests&gt;aaaa &gt; empty_file
'aaaa' is not recognized as an internal or external command, operable program or batch file.

C:\Users\VonC\prog\tests&gt;dir

 Folder C:\Users\VonC\prog\tests

27/11/2013  10:40    &lt;REP&gt;          .
27/11/2013  10:40    &lt;REP&gt;          ..
27/11/2013  10:40                 0 empty_file
</code></pre>
<p>In the same spirit, <a href=""https://stackoverflow.com/users/840405/samuel"">Samuel</a> suggests <a href=""https://stackoverflow.com/questions/1702762/how-to-create-an-empty-file-at-the-command-line-in-windows/43677896#comment74402568_1702790"">in the comments</a>:</p>
<blockquote>
<p>the shortest one I use is basically the one by Nomad:</p>
</blockquote>
<pre><code>.&gt;out.txt
</code></pre>
<p>It does give an error:</p>
<pre><code>'.' is not recognized as an internal or external command
</code></pre>
<p>But this error is on stderr. And <code>&gt;</code> only redirects stdout, where <em>nothing</em> have been produced.<br />
Hence the creation of an <em>empty</em> file.<br />
The error message can be disregarded here. Or, as in <a href=""https://stackoverflow.com/users/5999372/rain"">Rain</a>'s <a href=""https://stackoverflow.com/a/64419773/6309"">answer</a>, redirected to <code>NUL</code>:</p>
<pre><code>.&gt;out.txt 2&gt;NUL
</code></pre>
<hr />
<p>(Original answer, November 2009)</p>
<pre><code>echo.&gt;filename
</code></pre>
<p>(<code>echo &quot;&quot;</code> would actually put &quot;&quot; in the file! And <code>echo</code> without the '.' would put &quot;<code>Command ECHO activated</code>&quot; in the file...)</p>
<p>Note: the resulting file is not <em>empty</em> but includes a return line sequence: 2 bytes.</p>
<hr />
<p>This <a href=""http://groups.google.com/group/microsoft.public.win2000.cmdprompt.admin/msg/092e5cc12148ce2f?pli=1"" rel=""noreferrer"">discussion</a> points to a true batch solution for a real <em>empty</em> file:</p>
<pre><code> &lt;nul (set/p z=) &gt;filename

 dir filename
 11/09/2009  19:45                 0 filename
 1 file(s)                         0 bytes
</code></pre>
<blockquote>
<p>The &quot;<code>&lt;nul</code>&quot; pipes a <code>nul</code> response to the <code>set/p</code> command, which will cause the
variable used to remain unchanged. As usual with <code>set/p</code>, the string to the
right of the equal sign is displayed as a prompt with no CRLF.</p>
</blockquote>
<p>Since here the &quot;string to the right of the equal sign&quot; is empty... the result is an empty file.</p>
<hr />
<p>The difference with <code>cd. &gt; filename</code> (which is mentioned in <a href=""https://stackoverflow.com/questions/1702762/how-to-create-an-empty-file-in-the-command-line/1703040#1703040"">Patrick Cuff's answer</a> and does also produce a 0-byte-length file) is that this &quot;bit of redirection&quot; (the <code>&lt;nul...</code> trick) can be used to <strong>echo lines without any CR</strong>:</p>
<pre><code>&lt;nul (set/p z=hello) &gt;out.txt
&lt;nul (set/p z= world!) &gt;&gt;out.txt
dir out.txt
</code></pre>
<blockquote>
<p>The <code>dir</code> command should indicate the file size as 11 bytes: &quot;<code>helloworld!</code>&quot;.</p>
</blockquote>
",stackoverflow,"windows,file,cmd,command-line",672,"<p>How can I create an empty file at the DOS/Windows command-line?</p>
<p>I tried:</p>
<pre><code>copy nul &gt; file.txt
</code></pre>
<p>But it always displays that a file was copied.</p>
<p>Is there another method in the standard cmd?</p>
<p>It should be a method that does not require the <a href=""http://en.wikipedia.org/wiki/Touch_%28Unix%29"" rel=""noreferrer"">touch</a> command from Cygwin or any other nonstandard commands.
The command needs to run from a script, so keystrokes cannot be used.</p>
"
How can I set up an editor to work with Git on Windows?,"<p>Update September 2015 (6 years later)</p>

<p>The <a href=""https://github.com/git-for-windows/git/releases/tag/v2.5.3.windows.1"" rel=""noreferrer"">last release of git-for-Windows (2.5.3)</a> now includes:</p>

<blockquote>
  <p>By configuring <strong><code>git config core.editor notepad</code></strong>, users <a href=""https://github.com/git-for-windows/git/issues/381"" rel=""noreferrer"">can now use <code>notepad.exe</code> as their default editor</a>.<br>
  Configuring <code>git config format.commitMessageColumns 72</code> will be picked up by the notepad wrapper and line-wrap the commit message after the user edits it.</p>
</blockquote>

<p>See <a href=""https://github.com/git-for-windows/build-extra/commit/69b301bbd7c18226c63d83638991cb2b7f84fb64"" rel=""noreferrer"">commit 69b301b</a> by <a href=""https://github.com/dscho"" rel=""noreferrer"">Johannes Schindelin (<code>dscho</code>)</a>.</p>

<p>And Git 2.16 (Q1 2018) will show a message to tell the user that it is waiting for the user to finish editing when spawning an editor, in case the editor
opens to a hidden window or somewhere obscure and the user gets
lost.</p>

<p>See <a href=""https://github.com/git/git/commit/abfb04d0c74cde804c734015ff5868a88c84fb6f"" rel=""noreferrer"">commit abfb04d</a> (07 Dec 2017), and <a href=""https://github.com/git/git/commit/a64f213d3fa13fa01e582b6734fe7883ed975dc9"" rel=""noreferrer"">commit a64f213</a> (29 Nov 2017) by <a href=""https://github.com/larsxschneider"" rel=""noreferrer"">Lars Schneider (<code>larsxschneider</code>)</a>.<br>
Helped-by: <a href=""https://github.com/gitster"" rel=""noreferrer"">Junio C Hamano (<code>gitster</code>)</a>.<br>
<sup>(Merged by <a href=""https://github.com/gitster"" rel=""noreferrer"">Junio C Hamano -- <code>gitster</code> --</a> in <a href=""https://github.com/git/git/commit/0c69a132cb1adf0ce9f31e6631f89321e437cb76"" rel=""noreferrer"">commit 0c69a13</a>, 19 Dec 2017)</sup></p>

<blockquote>
  <h2><code>launch_editor()</code>: indicate that Git waits for user input</h2>
  
  <p>When a graphical <code>GIT_EDITOR</code> is spawned by a Git command that opens
  and waits for user input (e.g. ""<code>git rebase -i</code>""), then the editor window
  might be obscured by other windows.<br>
  The user might be left staring at
  the original Git terminal window without even realizing that s/he needs
  to interact with another window before Git can proceed. To this user Git
  appears hanging.</p>
  
  <p>Print a message that Git is waiting for editor input in the original
  terminal and get rid of it when the editor returns, if the terminal
  supports erasing the last line</p>
</blockquote>

<hr>

<p>Original answer</p>

<p>I just tested it with git version 1.6.2.msysgit.0.186.gf7512 and Notepad++5.3.1</p>

<p>I prefer to <em>not</em> have to set an EDITOR variable, so I tried:</p>

<pre class=""lang-bash prettyprint-override""><code>git config --global core.editor ""\""c:\Program Files\Notepad++\notepad++.exe\""""
# or
git config --global core.editor ""\""c:\Program Files\Notepad++\notepad++.exe\"" %*""
</code></pre>

<p>That always gives:</p>

<pre><code>C:\prog\git&gt;git config --global --edit
""c:\Program Files\Notepad++\notepad++.exe"" %*: c:\Program Files\Notepad++\notepad++.exe: command not found
error: There was a problem with the editor '""c:\Program Files\Notepad++\notepad++.exe"" %*'.
</code></pre>

<p>If I define a npp.bat including:</p>

<pre><code>""c:\Program Files\Notepad++\notepad++.exe"" %*
</code></pre>

<p>and I type:</p>

<pre><code>C:\prog\git&gt;git config --global core.editor C:\prog\git\npp.bat
</code></pre>

<p>It just works from the DOS session, <strong>but not from the git shell</strong>.<br>
(not that with the core.editor configuration mechanism, a script with ""<code>start /WAIT...</code>"" in it would not work, but only open a new DOS window)</p>

<hr>

<p><a href=""https://stackoverflow.com/questions/10564/how-can-i-set-up-an-editor-to-work-with-git-on-windows/1431003#1431003"">Bennett's answer</a> mentions the possibility to avoid adding a script, but to reference directly the program itself <strong>between simple quotes</strong>. Note the direction of the slashes! Use <code>/</code> NOT <code>\</code> to separate folders in the path name!</p>

<pre class=""lang-bash prettyprint-override""><code>git config --global core.editor \
""'C:/Program Files/Notepad++/notepad++.exe' -multiInst -notabbar -nosession -noPlugin""
</code></pre>

<p>Or if you are in a 64 bit system:</p>

<pre class=""lang-bash prettyprint-override""><code>git config --global core.editor \
""'C:/Program Files (x86)/Notepad++/notepad++.exe' -multiInst -notabbar -nosession -noPlugin""
</code></pre>

<p>But I prefer using a script (see below): that way I can play with different paths or different options without having to register again a <code>git config</code>.</p>

<hr>

<p>The actual solution (with a script) was to realize that:<br>
<strong>what you refer to in the config file is actually a shell (<code>/bin/sh</code>) script</strong>, not a DOS script.</p>

<p>So what does work is:</p>

<pre><code>C:\prog\git&gt;git config --global core.editor C:/prog/git/npp.bat
</code></pre>

<p>with <code>C:/prog/git/npp.bat</code>:</p>

<pre class=""lang-bash prettyprint-override""><code>#!/bin/sh
""c:/Program Files/Notepad++/notepad++.exe"" -multiInst ""$*""
</code></pre>

<p>or</p>

<pre class=""lang-bash prettyprint-override""><code>#!/bin/sh
""c:/Program Files/Notepad++/notepad++.exe"" -multiInst -notabbar -nosession -noPlugin ""$*""
</code></pre>

<p>With that setting, I can do '<code>git config --global --edit</code>' from DOS or Git Shell, or I can do '<code>git rebase -i ...</code>' from DOS or Git Shell.<br>
Bot commands will trigger a new instance of notepad++ (hence the <code>-multiInst</code>' option), and wait for that instance to be closed before going on.</p>

<p>Note that I use only '/', not <code>\</code>'. And I <a href=""https://stackoverflow.com/questions/623518/msysgit-on-windows-what-should-i-be-aware-of-if-any"">installed msysgit using option 2.</a> (Add the <code>git\bin</code> directory to the <code>PATH</code> environment variable, but without overriding some built-in windows tools)</p>

<p>The fact that the notepad++ wrapper is called .bat is not important.<br>
It would be better to name it 'npp.sh' and to put it in the <code>[git]\cmd</code> directory though (or in any directory referenced by your PATH environment variable).</p>

<hr>

<p>See also:</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/255202/how-do-i-view-git-diff-output-with-visual-diff-program/255212#255212"">How do I view ‘git diff’ output with visual diff program?</a> for the general theory</li>
<li><a href=""https://stackoverflow.com/questions/780425/how-do-i-setup-diffmerge-with-msysgit-gitk/783667#783667"">How do I setup DiffMerge with msysgit / gitk?</a> for another example of external tool (DiffMerge, and WinMerge)</li>
</ul>

<hr>

<p><a href=""https://stackoverflow.com/users/2716305/lightfire228"">lightfire228</a> adds <a href=""https://stackoverflow.com/questions/10564/how-can-i-set-up-an-editor-to-work-with-git-on-windows/773973#comment74027740_773973"">in the comments</a>:</p>

<blockquote>
  <p>For anyone having an issue where N++ just opens a blank file, and git doesn't take your commit message, see ""<a href=""https://stackoverflow.com/q/30085970/6309"">Aborting commit due to empty message</a>"": change your <code>.bat</code> or <code>.sh</code> file to say:</p>
</blockquote>

<pre><code>""&lt;path-to-n++"" .git/COMMIT_EDITMSG -&lt;arguments&gt;. 
</code></pre>

<blockquote>
  <p>That will tell notepad++ to open the temp commit file, rather than a blank new one.</p>
</blockquote>
",stackoverflow,"windows,git,cygwin,editor",666,"<p>I'm trying out <strong>Git on Windows</strong>. I got to the point of trying ""git commit"" and I got this error:</p>

<blockquote>
  <p>Terminal is dumb but no VISUAL nor
  EDITOR defined. Please supply the
  message using either -m or -F option.</p>
</blockquote>

<p>So I figured out I need to have an environment variable called EDITOR. No problem. I set it to point to Notepad. That worked, almost. The default commit message opens in Notepad. But Notepad doesn't support bare line feeds. I went out and got <a href=""http://notepad-plus.sourceforge.net/uk/site.htm"" rel=""noreferrer"">Notepad++</a>, but I can't figure out how to get Notepad++ set up as the <code>%EDITOR%</code> in such a way that it works with Git as expected.</p>

<p>I'm not married to Notepad++. At this point I don't mind what editor I use. I just want to be able to <strong>type commit messages in an editor</strong> rather than the command line (with <code>-m</code>).</p>

<p>Those of you using Git on Windows: What tool do you use to edit your commit messages, and what did you have to do to make it work?</p>
"
How can I update the current line in a C# Windows Console App?,"<p>If you print only <code>""\r""</code> to the console the cursor goes back to the beginning of the current line and then you can rewrite it. This should do the trick:</p>

<pre><code>for(int i = 0; i &lt; 100; ++i)
{
    Console.Write(""\r{0}%   "", i);
}
</code></pre>

<p>Notice the few spaces after the number to make sure that whatever was there before is erased.<br>
Also notice the use of <code>Write()</code> instead of <code>WriteLine()</code> since you don't want to add an ""\n"" at the end of the line.</p>
",stackoverflow,"c#,windows,console",654,"<p>When building a Windows Console App in C#, is it possible to write to the console without having to extend a current line or go to a new line?  For example, if I want to show a percentage representing how close a process is to completion, I'd just like to update the value on the same line as the cursor, and not have to put each percentage on a new line.</p>

<p>Can this be done with a ""standard"" C# console app?</p>
"
How do I get current date/time on the Windows command line in a suitable format for usage in a file/folder name?,"<p>See <em><a href=""http://www.tech-recipes.com/rx/956/windows-batch-file-bat-to-get-current-date-in-mmddyyyy-format/"" rel=""noreferrer"">Windows Batch File (.bat) to get current date in MMDDYYYY format</a></em>:</p>

<pre><code>@echo off
For /f ""tokens=2-4 delims=/ "" %%a in ('date /t') do (set mydate=%%c-%%a-%%b)
For /f ""tokens=1-2 delims=/:"" %%a in ('time /t') do (set mytime=%%a%%b)
echo %mydate%_%mytime%
</code></pre>

<p>If you prefer the time in 24 hour/military format, you can replace the second FOR line with this:</p>

<pre><code>For /f ""tokens=1-2 delims=/:"" %%a in (""%TIME%"") do (set mytime=%%a%%b)
</code></pre>

<blockquote>
  <p>C:> .\date.bat <br />
  2008-10-14_0642</p>
</blockquote>

<p>If you want the date independently of the region day/month order, you can use ""WMIC os GET LocalDateTime"" as a source, since it's in ISO order:</p>

<pre><code>@echo off
for /F ""usebackq tokens=1,2 delims=="" %%i in (`wmic os get LocalDateTime /VALUE 2^&gt;NUL`) do if '.%%i.'=='.LocalDateTime.' set ldt=%%j
set ldt=%ldt:~0,4%-%ldt:~4,2%-%ldt:~6,2% %ldt:~8,2%:%ldt:~10,2%:%ldt:~12,6%
echo Local date is [%ldt%]
</code></pre>

<blockquote>
  <p>C:>test.cmd<br />
  Local date is [2012-06-19 10:23:47.048]</p>
</blockquote>
",stackoverflow,"windows,datetime,batch-file,cmd",649,"<p>Update: Now that it's 2016 I'd use PowerShell for this unless there's a really compelling backwards-compatible reason for it, particularly because of the regional settings issue with using <code>date</code>. See @npocmaka's <a href=""https://stackoverflow.com/a/19799236/8479"">https://stackoverflow.com/a/19799236/8479</a></p>

<hr>

<p>What's a Windows command line statement(s) I can use to get the current datetime in a format that I can put into a filename?</p>

<p>I want to have a .bat file that zips up a directory into an archive with the current date and time as part of the name, for example, <code>Code_2008-10-14_2257.zip</code>. Is there any easy way I can do this, independent of the regional settings of the machine?</p>

<p>I don't really mind about the date format, ideally it'd be yyyy-mm-dd, but anything simple is fine.</p>

<p>So far I've got this, which on my machine gives me <code>Tue_10_14_2008_230050_91</code>:</p>

<pre><code>rem Get the datetime in a format that can go in a filename.
set _my_datetime=%date%_%time%
set _my_datetime=%_my_datetime: =_%
set _my_datetime=%_my_datetime::=%
set _my_datetime=%_my_datetime:/=_%
set _my_datetime=%_my_datetime:.=_%

rem Now use the timestamp by in a new ZIP file name.
""d:\Program Files\7-Zip\7z.exe"" a -r Code_%_my_datetime%.zip Code
</code></pre>

<p>I can live with this, but it seems a bit clunky. Ideally it'd be briefer and have the format mentioned earlier.</p>

<p>I'm using Windows Server 2003 and Windows&nbsp;XP Professional. I don't want to install additional utilities to achieve this (although I realise there are some that will do nice date formatting).</p>
"
How do I uninstall a Windows service if the files do not exist anymore?,"<p>You have at least three options. I have presented them in order of usage preference.</p>

<p><strong>Method 1</strong> -  You can use the <a href=""http://support.microsoft.com/kb/251192"" rel=""noreferrer"">SC tool</a> (Sc.exe) included in the Resource Kit. 
(included with Windows 7/8)</p>

<p>Open a Command Prompt and enter</p>

<pre><code>sc delete &lt;service-name&gt;
</code></pre>

<p>Tool help snippet follows:</p>

<pre><code>DESCRIPTION:
        SC is a command line program used for communicating with the
        NT Service Controller and services.

delete----------Deletes a service (from the registry).
</code></pre>

<p><strong>Method 2</strong> - use delserv</p>

<p><a href=""http://support.microsoft.com/kb/927229"" rel=""noreferrer"">Download</a> and use delserv command line utility. This is a legacy tool developed for Windows 2000. In current Window XP boxes this was superseded by sc described in method 1.</p>

<p><strong>Method 3</strong> - manually delete registry entries <strong>(Note that this backfires in Windows 7/8)</strong></p>

<p>Windows services are registered under the following registry key.</p>

<pre><code>HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services
</code></pre>

<p>Search for the sub-key with the service name under referred key and delete it. (and you might need to restart to remove completely the service from the Services list)</p>
",stackoverflow,"windows,windows-services,installation",635,"<p>How do I uninstall a .NET Windows Service if the service files do not exist anymore?</p>
<p>I installed a .NET Windows Service using InstallUtil. I have since deleted the files but forgot to run</p>
<pre><code> InstallUtil /u
</code></pre>
<p>first, so the service is still listed in the Services MMC.</p>
<p>Do I have to go into the registry? Or is there a better way?</p>
"
How can you find and replace text in a file using the Windows command-line environment?,"<p>A lot of the answers here helped point me in the right direction, however none were suitable for me, so I am posting my solution.</p>
<p>I have Windows 7, which comes with PowerShell built-in. Here is the script I used to find/replace all instances of text in a file:</p>
<pre><code>powershell -Command &quot;(gc myFile.txt) -replace 'foo', 'bar' | Out-File -encoding ASCII myFile.txt&quot;
</code></pre>
<p>To explain it:</p>
<ul>
<li><code>powershell</code> starts up powershell.exe, which is included in Windows 7</li>
<li><code>-Command &quot;... &quot;</code> is a command line arg for powershell.exe containing the command to run</li>
<li><code>(gc myFile.txt)</code> reads the content of <code>myFile.txt</code> (<code>gc</code> is short for the <code>Get-Content</code> command)</li>
<li><code>-replace 'foo', 'bar'</code> simply runs the replace command to replace <code>foo</code> with <code>bar</code></li>
<li><code>| Out-File myFile.txt</code> pipes the output to the file <code>myFile.txt</code></li>
<li><code>-encoding ASCII</code> prevents transcribing the output file to unicode, as the comments point out</li>
</ul>
<p>Powershell.exe should be part of your PATH statement already, but if not you can add it. The location of it on my machine is <code>C:\WINDOWS\system32\WindowsPowerShell\v1.0</code></p>
<p><strong>Update</strong><br/>Apparently modern windows systems have PowerShell built in allowing you to access this directly using</p>
<pre><code>(Get-Content myFile.txt) -replace 'foo', 'bar' | Out-File -encoding ASCII myFile.txt
</code></pre>
",stackoverflow,"windows,command-line,scripting,batch-file,text-files",625,"<p>I am writing a batch file script using Windows command-line environment and want to change each occurrence of some text in a file (ex. ""FOO"") with another (ex. ""BAR""). What is the simplest way to do that? Any built in functions?</p>
"
